BuildingCode,Longitude,Latitude
2403000998,125.5558018,10.3296927
2403000999,125.5558449,10.3297241
2403001000,125.5558469,10.3297237
2403001001,125.5485043,10.31794854
2403001002,125.555847,10.3297224
2403001004,125.548539,10.3179621
2403001005,125.5558504,10.3297281
2403001006,125.5558132,10.3296328
2403001007,125.5558452,10.3297247
2403001008,125.5584333,10.3275625
2403001009,125.5584333,10.3275625
2403001010,125.5584333,10.3266724
2403001012,125.5584333,10.3275625
2403001013,125.5577797,10.32590939
2403001015,125.5584333,10.3266724
2403001016,125.5584333,10.3275625
2403001017,125.5558466,10.3297273
2403001020,125.5557993,10.3294279
2403001021,125.5558235,10.3295666
2403001022,125.55562,10.32938
2403001023,125.5558433,10.329405
2403001051,125.55749,10.3251833
2403001052,125.5574867,10.3252967
2403001053,125.5572617,10.324915
2403001054,125.5573467,10.3248983
2403001055,125.5570767,10.3255233
2403001056,125.5571667,10.32547
2403001057,125.5571667,10.32547
2403001058,125.5567467,10.3260233
2403001059,125.5570417,10.32596
2403001060,125.5570417,10.32596
2403001061,125.5570417,10.32596
2403001062,125.55747,10.3255733
2403001063,125.5571533,10.32571
2403001064,125.5568,10.326465
2403001065,125.5567517,10.3261117
2403001066,125.556755,10.326195
2403001067,125.556755,10.326195
2403001068,125.556755,10.326195
2403001069,125.5573667,10.3267633
2403001095,125.5580913,10.3231552
2403001096,125.55768,10.3257077
2403001097,125.5572356,10.3255544
2403001098,125.5574696,10.3257709
2403001099,125.5572219,10.3255529
2403001100,125.5575782,10.3256757
2403001101,125.5573897,10.3256158
2403001103,125.5574834,10.3256512
2403001104,125.557406,10.3252542
2403001105,125.5574843,10.325668
2403001106,125.5575213,10.3253104
2403001108,125.5574701,10.3251424
2403001109,125.5574718,10.3251742
2403001110,125.5574719,10.3251526
2403001111,125.5574728,10.3251711
2403001112,125.5574694,10.3251572
2403001113,125.5576743,10.3257074
2403001114,125.557548,10.3255932
2403001115,125.5575998,10.3256713
2403001116,125.5576507,10.3256746
2403001117,125.5576447,10.3256798
2403001118,125.5576515,10.3256912
2403001119,125.5580913,10.3231552
2403001120,125.5580913,10.3231552
2403001121,125.5580913,10.3231552
2403001122,125.5603342,10.3273069
2403001123,125.5603566,10.3272623
2403001124,125.5603439,10.327289
2403001125,125.5580913,10.3231552
2403001126,125.5580913,10.3231552
2403001127,125.5580913,10.3231552
2403001128,125.5580913,10.3231552
2403001129,125.5578222,10.3257469
2403001130,125.5578222,10.3257469
2403001132,125.5577763,10.3257329
2403001179,125.5582149,10.3189505
2403001186,125.5565324,10.3188816
2403001187,125.5564901,10.3188497
2403001188,125.5563617,10.3185883
2403001189,125.5563088,10.3186197
2403001190,125.5563258,10.3186289
2403001191,125.5565298,10.3188812
2403001194,125.5581833,10.3193183
2403001195,125.5581503,10.3187144
2403001224,125.5285905,10.2829627
2403001225,125.52671,10.28348167
2403001226,125.526895,10.28375667
